Elapsed Time, accel x, accel y, accel z, gyro x, gyro y, gyro z
0.0, 0.001905, 0.004855, 0.022273, -0.080363, 0.011012, -0.024293
9.999990463256836, 5.2E-5, 0.00699, 0.010592, -0.077544, -0.02114, -0.022483
19.999980926513672, -0.005988, 0.003317, 0.002853, -0.079768, -0.053383, -0.013385
29.999971389770508, 0.002776, 0.003987, -0.007681, -0.0859, -0.074454, -0.011892
39.999961853027344, 0.003103, 0.004045, -0.00913, -0.092369, -0.057198, -0.009824
49.99995231628418, -0.003102, 0.008089, -0.00865, -0.083719, -0.034946, -0.002716
59.999942779541016, -0.003724, 0.009127, -0.01063, -0.038324, -0.027184, -0.010777
69.99993324279785, -0.053804, 0.008454, 0.004344, -0.002979, 0.010435, -0.016478
79.99992370605469, -0.09305, 0.156706, -0.006084, -0.010057, 0.010284, -0.015343
89.99991416931152, 0.012855, 0.177245, -0.019619, -0.015821, 0.024158, -0.001421
99.99990463256836, 0.096898, 0.102335, -0.022047, -0.037996, 0.022636, 0.007124
109.9998950958252, 0.090751, 0.084911, -0.013257, -0.033269, -4.54E-4, -0.005585
119.99988555908203, 0.028552, 0.119123, -0.0086, -0.016315, 0.00446, -0.0104
129.99987602233887, -0.054051, 0.174262, -0.007044, -0.009409, 0.007478, 0.012593
139.9998664855957, -0.099728, 0.199875, 0.001679, -0.010843, 0.003075, 0.03964
159.99984741210938, -0.118332, 0.163913, -4.34E-4, -0.008207, -0.002693, 0.036269
169.9998378753662, -0.10156, 0.126911, -7.91E-4, -0.008627, -0.004436, 0.026706
179.99982833862305, -0.06966, 0.091266, -0.004632, -0.007766, -1.82E-4, 0.0093
199.99980926513672, 0.016036, -0.028159, -0.008726, -0.012646, 0.005185, -0.002305
189.99981880187988, -0.016166, 0.040893, -0.007904, -0.012708, 0.00508, -0.002254
209.99979972839355, 0.034019, -0.061511, -0.001765, -0.011264, 0.007873, -0.006809
220.0000286102295, 0.031529, -0.06647, -0.00294, -0.007784, 0.006889, -0.001372
230.00001907348633, 0.02396, -0.068984, -0.004229, -0.006569, 0.01166, -0.001753
240.00000953674316, 0.028696, -0.035557, -0.005948, -0.006243, 0.010768, -0.006882
250.0, 0.024297, 0.029963, -0.007113, -0.007086, 0.009605, -0.017307
259.99999046325684, 0.002416, 0.073096, -0.0057, -0.008505, 0.015013, -0.013351
269.9999809265137, -0.015203, 0.065477, 0.003992, -0.013004, 0.017858, 0.002924
279.9999713897705, -0.003589, 0.038336, 0.004618, -0.011355, 0.010558, 0.011802
289.99996185302734, 0.027283, -0.022139, 0.012216, -0.010391, 0.010172, 0.002261
299.9999523162842, 0.050426, -0.069015, 0.013349, -0.012443, 0.01039, -0.020145
309.999942779541, 0.071859, -0.066445, 0.016074, -0.009821, 0.009007, -0.0297
319.99993324279785, 0.087082, -0.076238, 0.014011, -0.008439, 0.012795, -0.0215
329.9999237060547, 0.092027, -0.066326, 0.013922, -0.012682, 0.012324, -0.018319
339.9999141693115, 0.064085, -0.052859, 0.007172, -0.016285, 0.012734, 0.006487
359.9998950958252, 0.042778, -0.070363, 0.014518, -0.015626, 0.01319, 0.006293
369.99988555908203, 0.032763, -0.080368, 0.019453, -0.010156, 0.007427, 0.002105
379.99987602233887, -0.003991, -0.067004, 0.021151, -0.003762, 0.006151, 0.003789
389.9998664855957, -0.043359, -0.043751, 0.021419, -0.005079, 0.009494, 0.01882
399.99985694885254, -0.075046, -0.031554, 0.018304, -0.007055, 0.005464, 0.02719
409.9998474121094, -0.061227, -0.022773, 0.012226, -0.012411, 0.00102, 0.026404
419.9998378753662, -0.039877, -0.00902, 0.008627, -0.012664, 0.004342, 0.021172
429.99982833862305, -0.02104, 0.002251, 0.003809, -0.015766, 0.007215, 0.006825
439.9998188018799, 0.015329, 0.02974, -0.00471, -0.011898, 0.005248, -3.58E-4
