timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478536461.51,-0.161869,0.486337,-0.363460,-0.692903,-0.025271,-0.099182,-0.142476,-0.467391,-0.872494,0.014577,-0.116258,0.068982,15.600582,-20.855154,-35.162880,,,,,,
1478536461.52,-0.155902,0.476349,-0.363538,-1.001421,0.747064,0.187487,-0.137986,-0.458538,-0.877897,-0.017501,-0.155339,0.108381,15.436159,-20.423927,-35.487068,,,,,,
1478536461.53,-0.143814,0.464944,-0.363296,-1.071896,1.274881,0.165295,-0.128105,-0.448373,-0.884619,-0.039131,-0.171134,0.132406,15.436159,-20.423927,-35.487068,,,,,,
1478536461.54,-0.129003,0.455185,-0.364044,-0.864463,1.366323,0.029383,-0.115547,-0.439629,-0.890716,-0.073067,-0.077125,0.135849,16.012524,-19.726389,-35.626011,,,,,,
1478536461.56,-0.117336,0.448734,-0.366089,-0.550943,0.887430,-0.145671,-0.105477,-0.433825,-0.894802,-0.090568,0.080752,0.068218,16.012524,-19.726389,-35.626011,,,,,,
1478536461.57,-0.110029,0.445589,-0.370190,-0.270438,0.427330,-0.376692,-0.099085,-0.430989,-0.896900,-0.118383,0.133474,-0.029781,16.918049,-19.136717,-35.528996,,,,,,
1478536461.58,-0.104430,0.444856,-0.377031,-0.095768,0.211780,-0.646484,-0.094095,-0.430328,-0.897755,-0.161978,0.098755,-0.096599,16.918049,-19.136717,-35.528996,,,,,,
1478536461.59,-0.098103,0.444927,-0.386954,-0.088379,0.196764,-0.912264,-0.088410,-0.430392,-0.898302,-0.167740,0.071215,-0.052732,17.386328,-18.800255,-35.482529,,,,,,
1478536461.60,-0.091370,0.444576,-0.399150,-0.143387,0.112417,-1.067395,-0.082373,-0.430075,-0.899027,-0.237329,0.016851,0.103755,17.386328,-18.800255,-35.482529,,,,,,
1478536461.61,-0.085639,0.443629,-0.411872,-0.202981,-0.004104,-1.077327,-0.077255,-0.429220,-0.899890,-0.267044,0.002294,0.160296,17.880880,-18.371174,-35.461502,,,,,,
1478536461.62,-0.081463,0.441653,-0.424408,-0.303945,-0.150845,-1.053005,-0.073565,-0.427435,-0.901048,-0.275923,0.029836,0.195131,17.880880,-18.371174,-35.461502,,,,,,
1478536461.63,-0.079982,0.439083,-0.436762,-0.320164,-0.451554,-1.040804,-0.072318,-0.425109,-0.902248,-0.252938,0.084686,0.230007,18.254616,-17.791632,-35.566429,,,,,,
1478536461.65,-0.090975,0.440916,-0.463395,0.227294,-1.377551,-1.266239,-0.082160,-0.426768,-0.900621,-0.108880,0.133372,0.062837,18.312454,-17.468357,-35.696705,,,,,,
1478536461.64,-0.083357,0.438238,-0.449454,-0.099588,-0.966627,-1.102512,-0.075392,-0.424344,-0.902357,-0.115648,0.130948,0.064573,18.312454,-17.468357,-35.696705,,,,,,
1478536461.66,-0.099951,0.446673,-0.479473,0.468452,-1.533850,-1.475975,-0.089995,-0.431967,-0.897388,-0.088198,0.172003,-0.084973,17.927271,-17.022177,-36.105434,,,,,,
