timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478478744.97,-0.104256,0.466081,-3.090379,0.793855,-0.505420,-0.895015,-0.092967,-0.449389,-0.888486,-0.123570,0.063433,-0.059482,0.193846,-51.071014,-34.107208,,,,,,
1478478744.98,-0.105222,0.473943,-3.099220,0.605451,-0.470331,-0.791626,-0.093451,-0.456398,-0.884855,-0.108896,0.033531,-0.043475,0.193846,-51.071014,-34.107208,,,,,,
1478478744.99,-0.107276,0.478699,-3.106065,0.311677,-0.498840,-0.555001,-0.095036,-0.460625,-0.882493,-0.090191,0.003883,0.005768,0.780523,-51.579353,-33.324898,,,,,,
1478478745.00,-0.110838,0.479572,-3.109905,-0.042752,-0.517074,-0.260555,-0.098133,-0.461399,-0.881748,-0.035274,-0.059520,0.050007,0.780523,-51.579353,-33.324898,,,,,,
1478478745.01,-0.116196,0.476547,-3.110465,-0.373402,-0.505796,0.070529,-0.103017,-0.458714,-0.882592,0.061681,-0.133419,0.084649,0.949990,-51.722527,-33.097816,,,,,,
1478478745.02,-0.116980,0.470763,-3.110593,-0.584368,0.048642,0.017652,-0.104017,-0.453566,-0.885132,0.125898,-0.175508,0.182449,0.771497,-51.620811,-33.260853,,,,,,
1478478745.03,-0.115687,0.464109,-3.111394,-0.652635,0.053270,0.006776,-0.103219,-0.447627,-0.888243,0.153161,-0.160970,0.279830,0.771497,-51.620811,-33.260853,,,,,,
1478478745.04,-0.116577,0.457099,-3.112979,-0.673332,-0.185947,-0.090054,-0.104372,-0.441347,-0.891246,-0.024199,-0.093107,0.361827,0.742768,-51.203190,-33.900871,,,,,,
1478478745.05,-0.114463,0.451370,-3.115850,-0.529127,0.196744,-0.199908,-0.102775,-0.436199,-0.893962,-0.015191,0.048717,0.190593,0.742768,-51.203190,-33.900871,,,,,,
1478478745.06,-0.109475,0.447248,-3.118046,-0.371710,0.402219,-0.110346,-0.098510,-0.432486,-0.896243,-0.167679,0.125662,0.201526,0.845119,-50.752224,-34.570004,,,,,,
1478478745.08,-0.105170,0.443819,-3.118096,-0.331258,0.424367,0.077511,-0.094806,-0.429391,-0.898129,-0.279813,0.084955,0.168804,0.845119,-50.752224,-34.570004,,,,,,
1478478745.09,-0.100215,0.437676,-3.115998,-0.663657,0.614645,0.298847,-0.090617,-0.423836,-0.901195,-0.228551,0.049370,0.019191,1.194349,-50.482384,-34.952682,,,,,,
1478478745.10,-0.092116,0.426510,-3.113075,-1.165905,0.984758,0.338086,-0.083745,-0.413696,-0.906555,-0.230800,0.080215,0.042664,1.194349,-50.482384,-34.952682,,,,,,
