accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
0,0.005142212,0.975463867,-0.131576538,0,-0.007717042,0.060719807,0.009785253
0.059173,0.009246826,0.979721069,-0.135421753,0.069946,0.010582337,0.036155608,-0.00823982
0.118316,0.003921509,0.98336792,-0.125991821,0.104919,-0.007685617,0.058532286,-0.000900947
0.177459,0.028457642,0.989578247,-0.13508606,0.174865,0.013461214,0.129831766,-0.00777643
0.236633,0.035018921,0.989517212,-0.14616394,0.244812,0.038224617,0.078767783,-0.006620352
0.295776,-0.004837036,1.016204834,-0.108612061,0.279785,0.05760018,0.035190744,0.001973669
0.35495,-0.004379272,0.965621948,-0.112854004,0.349731,0.212289093,0.111045295,0.026742931
0.414123,-0.044937134,0.926574707,-0.189620972,0.419677,0.328721164,0.116653646,0.059238556
0.473266,0.111968994,0.983123779,-0.387313843,0.489624,0.561816203,0.437027398,0.015669507
0.53244,0.204299927,1.104431152,-0.36831665,0.524597,0.484118211,0.308424681,0.064258615
0.591613,0.014511108,0.819992065,-0.354721069,0.594543,0.405454292,-0.348058377,-0.06573081
0.650756,0.05670166,0.767532349,-0.346221924,0.66452,0.145754806,-0.183339733,0.122767465
0.70993,0.072250366,0.882369995,-0.39616394,0.699493,-0.004455202,-0.041780204,0.146022454
0.769073,0.055648804,0.973098755,-0.379608154,0.769439,-0.094972852,-0.007891745,-0.064258082
0.828247,0.086868286,0.972320557,-0.422302246,0.839386,-0.084444577,-0.018039454,0.024448351
0.88739,0.006149292,0.929504395,-0.426879883,0.909332,-0.05816184,-0.13457965,-0.073966636
0.946563,-0.010772705,0.85005188,-0.453186035,0.944305,-0.138541901,-0.119382055,-0.006607835
1.005706,0.044219971,1.28704834,-0.471588135,1.014251,-0.144975566,0.058462245,0.203380286
1.064849,0.107666016,0.836608887,-0.397354126,1.084198,-0.10654402,0.092399439,0.174137712
1.124023,-0.053848267,1.001815796,-0.274581909,1.119171,-0.046949666,0.232423656,0.076253493
1.183166,0.152511597,0.999786377,0.051818848,1.189117,-0.50088574,0.354503759,-0.295279051
1.242309,-0.058502197,0.819396973,-0.010421753,1.22409,-0.730216134,0.136697928,-0.182864092
1.301483,0.013824463,1.02532959,-0.093688965,1.294037,-0.419030554,0.025930401,-0.053353503
1.360626,0.156219482,0.827911377,-0.093261719,1.363983,-0.498034826,0.75108573,0.203026352
1.419769,0.003952026,0.943847656,0.000747681,1.433929,-0.536747601,0.433994857,-0.157653011
1.478942,0.070510864,1.043151855,-0.125335693,1.468902,-0.556962591,0.566714555,-0.409280189
1.538086,0.133850098,0.954940796,-0.148864746,1.538849,-0.054346596,0.942409087,-0.115995579
1.597229,0.091964722,0.995742798,-0.126571655,1.608795,-0.296809303,0.482652141,-0.44793251
1.656402,0.156906128,1.012527466,-0.241546631,1.643799,-0.320592131,0.465335469,-0.302049073
1.715545,0.2003479,1.077301025,-0.059661865,1.713745,-0.452081449,0.452548035,-0.282456729
1.774719,-0.234817505,1.226730347,0.144607544,1.783691,-0.158072193,-0.494904813,0.231655866
1.833862,-0.17640686,0.665252686,0.0599823,1.853637,0.778376473,0.118057132,0.239097537
1.893005,0.102615356,1.394790649,-0.097702026,1.888611,0.861295325,0.204754477,0.31209931
1.952148,0.218887329,0.981338501,-0.240524292,1.958557,1.06336214,-0.174485255,0.417622275
2.011322,0.024536133,0.7084198,-0.192108154,2.028503,0.717459859,-1.10193217,0.224217924
2.070465,-0.008911133,0.749847412,-0.183120728,2.063476,0.277750657,-0.971698532,0.172138743
2.129638,0.039825439,0.769515991,-0.201446533,2.133423,-0.060374927,-0.586592123,0.188729704
2.188781,0.066513062,1.039169312,-0.380447388,2.203369,-0.195364704,-0.169689168,0.146171325
2.247955,0.228713989,1.032958984,-0.371551514,2.238342,-0.005468269,-0.699353559,0.192130827
2.307098,0.238540649,0.996063232,-0.579055786,2.308288,-0.135208422,-0.545498216,0.124955252
2.366272,-0.238922119,1.560272217,-0.014968872,2.378235,0.58181095,-0.167902986,0.146634981
2.425415,0.137527466,0.480895996,-0.107254028,2.413208,-0.056199091,0.611432492,-0.685523231
2.484588,0.150558472,1.215789795,0.166000366,2.483154,-0.301933492,-0.22548186,0.083680516
2.543731,-0.174530029,0.744903564,-0.147033691,2.5531,-0.460873609,-0.115155884,0.235867922
2.602874,0.027511597,1.090072632,-0.051269531,2.588104,-0.355075007,0.224298351,0.199278485
2.662048,0.082733154,0.846801758,-0.107009888,2.65805,-0.360024758,0.867042959,-0.026342392
2.721127583,0.086227417,0.962417603,-0.124481201,2.727901625,-0.36981081,0.941311598,-0.06883792
2.780300583,0.125213623,0.971542358,-0.124511719,2.797847625,-0.160995278,1.159092395,-0.570148967
2.839443583,0.288024902,0.983276367,-0.167739868,2.832820625,-0.089969038,1.213388923,-0.386411358
2.898617583,0.225830078,0.985473633,-0.271133423,2.902766625,-0.036467464,0.502056732,-0.253360629
2.957790583,0.20022583,0.951629639,-0.245223999,2.972713625,-0.371108568,0.201613279,-0.246248924
3.016933583,0.221466064,1.111251831,0.042800903,3.007686625,-0.551167819,0.249014883,-0.112771556
3.076107583,-0.512374878,1.078765869,0.234603882,3.077632625,-0.132965774,-1.140418309,0.531194111
3.135250583,0.071212769,1.059539795,0.042434692,3.147578625,0.839600416,0.719962964,0.125185083
3.194393583,0.149658203,1.130477905,-0.198104858,3.217525625,1.197285587,-0.470030356,0.26853905
3.253536583,0.14239502,0.715301514,-0.219741821,3.252498625,1.03836571,-0.617763092,0.336274954
3.312710583,-0.04284668,0.741333008,-0.238601685,3.322444625,0.526684847,-0.916227017,0.152126153
3.371853583,0.08140564,0.857467651,-0.260910034,3.357417625,0.1891385,-0.678175037,0.13922873
3.430996583,0.08265686,0.80770874,-0.249023438,3.427363625,-0.23544661,-0.270252261,0.060849236
3.490170583,0.126022339,1.168258667,-0.405670166,3.497310625,-0.103846238,-0.368548205,0.165669925
3.549313583,0.186523438,0.955581665,-0.454864502,3.532283625,0.118416393,-0.393440239,0.247442286
3.608456583,-0.00100708,1.484741211,-0.405929565,3.602260625,-0.140038065,-0.33518945,0.04363909
3.667629583,-0.037796021,1.057067871,-0.350830078,3.672206625,-0.079145153,0.545083029,-0.358348831
3.726772583,0.146102905,0.571868896,-0.013702393,3.742152625,-0.23669217,0.536418434,-0.16504568
3.785946583,0.053649902,1.134872437,0.023971558,3.777125625,-0.631018177,-0.495279786,-0.532513175
3.845089583,-0.153884888,0.810546875,-0.137878418,3.847072625,-0.463038226,-0.315057816,0.081186732
3.904232583,0.113830566,0.857315063,-0.057067871,3.917018625,-0.628026648,0.453914236,-0.003932956
3.963406583,0.100097656,0.953170776,-0.031387329,3.951991625,-0.83490979,0.429264017,-0.193565739
4.022549583,0.006134033,1.108947754,-0.12322998,4.021937625,-0.738775267,0.797308619,-0.255774252
4.081692583,0.32434082,1.053024292,-0.229034424,4.091884625,-0.331151565,1.174153636,-0.512494725
4.140865583,0.25100708,1.101638794,-0.293792725,4.161830625,-0.118376712,0.382789726,-0.248557885
4.200008583,0.052505493,0.981918335,0.115997314,4.196803625,0.074179955,0.410083398,-0.350571335
4.259182583,-0.333526611,0.593032837,0.089660645,4.266749625,0.763517366,-0.945412866,0.418773826
4.318325583,0.481796265,2.042327881,-0.274505615,4.336696625,1.435852356,0.306405738,0.893338746
4.377499583,0.07434082,0.452667236,-0.260910034,4.371669625,1.011554069,-0.551138791,1.230934627
4.436642583,0.00920105,0.71812439,-0.143920898,4.441615625,0.211477361,-1.312101652,0.223115375
4.495785583,-0.042373657,1.07661438,-0.213256836,4.476588625,-0.173364064,-0.696198512,0.213459552
4.554958583,0.17010498,0.78704834,-0.485290527,4.546565625,-0.43851211,0.209576397,0.246175953
4.614101583,-0.138946533,1.809158325,0.278518677,4.616511625,-0.195102649,0.562539251,0.32033194
4.673275583,-0.252334595,0.188461304,-0.128128052,4.686458625,0.009397763,0.872227069,-0.307669142
4.732418583,0.115493774,1.495697021,-0.133392334,4.721431625,-0.639021509,1.135854184,-0.456866617
4.791561583,0.151473999,1.029434204,-0.249664307,4.791377625,-0.626600792,0.885185212,-0.360688418
4.850704583,0.187652588,1.082946777,-0.285812378,4.861323625,-0.248775198,0.854859796,-0.519286319
4.909847583,0.210739136,0.978622437,-0.002410889,4.896297625,-0.021004618,0.466030288,-0.419880103
4.968990583,-0.443359375,0.449203491,-0.064163208,4.966243625,0.731725081,-0.958283923,0.79412188
5.028133583,0.521240234,1.986099243,-0.15675354,5.036189625,1.118244297,0.34914175,0.394023205
5.087276583,-0.079589844,0.602157593,-0.201431274,5.106135625,0.764774644,-1.617027205,0.427479433
5.146420583,0.170913696,0.715759277,-0.025985718,5.141109625,0.106234827,-0.721136619,0.471071385
5.205593583,-0.180175781,1.004333496,-0.258300781,5.211055625,-0.339396179,-0.3134996,-0.237504701
5.264736583,0.258758545,0.812408447,0.222579956,5.281001625,0.069994798,0.395585682,0.111607755
5.323879583,0.111114502,1.025253296,-0.024581909,5.315974625,-0.375653253,-0.21877096,-0.426520162
5.383022583,0.036834717,0.848007202,0.293899536,5.385921625,-0.51744208,0.002771552,0.010394318
5.442165583,0.363372803,0.72833252,-0.239318848,5.455867625,-0.586802512,1.470296084,-0.427977444
5.501308583,0.30406189,1.082702637,-0.218109131,5.525844625,0.056861419,0.045487857,-0.642859124
5.560482583,-0.354690552,0.959960938,0.29838562,5.560817625,0.337219045,-0.305297863,-0.214825487
5.619625583,0.087081909,1.648147583,-0.291046143,5.630763625,0.622635079,0.738596303,1.03531426
5.678768583,0.376419067,0.390319824,-0.580429077,5.665736625,1.18573093,0.074475034,0.763060101
5.737911583,-0.121246338,0.686050415,-0.053085327,5.735683625,0.216217788,-1.941118464,0.0409477
5.797085583,-0.026306152,1.140472412,-0.05116272,5.805629625,-0.127521208,0.056015332,0.530300887
5.856228583,0.311950684,0.702056885,0.021896362,5.840602625,-0.896388864,0.506524451,-0.070161245
5.915371583,-0.027908325,1.403671265,0.23197937,5.910548625,-0.403422034,0.145739893,-0.529852943
5.974545583,-0.0496521,0.492828369,-0.121841431,5.980495625,-0.342800231,0.891541644,0.361554744
6.033688583,0.181915283,1.119430542,-0.07270813,6.050441625,-0.406804248,0.321856866,-0.247231897
6.092831583,0.218505859,1.125137329,-0.399459839,6.085414625,-0.483529653,0.119112809,-0.519267144
6.151974583,0.15838623,0.914520264,-0.017211914,6.155360625,-0.003635748,0.08180352,-0.416064592
6.211117583,-0.383911133,0.643814087,0.093048096,6.225307625,0.535003763,-0.260323997,0.18831505
6.270290583,0.311676025,1.779449463,-0.436813354,6.260280625,0.620383376,-0.269947063,0.747766099
6.329433583,0.300140381,0.6015625,-0.466537476,6.330226625,1.036576066,-0.555847526,0.562878537
6.388576583,-0.122924805,0.571487427,-0.128692627,6.400172625,0.082144938,-2.340084496,-0.09392623
6.447750583,-0.152175903,1.080627441,-0.269073486,6.470149625,-0.222537469,0.145322043,0.333026164
6.506893583,0.418579102,1.046875,-0.383758545,6.505122625,-0.958718818,0.794824422,0.104372479
6.566036583,-0.640701294,1.687576294,0.324523926,6.575069625,-0.373676388,-0.404116852,-0.063263658
6.625179583,-0.368423462,0.266738892,0.000137329,6.645015625,0.107507818,1.353041629,0.006479205
6.684322583,0.118438721,1.528030396,-0.066421509,6.679988625,-0.919712829,1.762853917,-0.207815781
6.743465583,0.329238892,1.032653809,-0.42791748,6.749934625,-0.361323049,1.471766948,-0.39195313
6.802639583,0.294525146,0.81741333,-0.263320923,6.784907625,-0.133609993,1.254045007,-0.535197108
6.861782583,-0.194290161,0.729766846,0.082427979,6.854854625,0.407343805,0.057254235,-0.109772304
6.920925583,0.245925903,1.383453369,-0.083389282,6.924800625,0.488430668,-0.562828736,0.934769543
6.980068583,0.254653931,0.75289917,-0.270202637,6.994746625,0.833206166,-1.102034968,0.573775394
7.039211583,-0.148849487,0.633224487,-0.216125488,7.029719625,0.304641927,-1.957176792,0.203237274
7.098385583,-0.01133728,0.995223999,-0.105865479,7.099666625,-0.453997327,-0.869752193,0.251742493
7.157528583,0.258483887,1.161300659,-0.325866699,7.169612625,-0.115207283,0.186589322,0.076228725
7.216671583,-0.189208984,1.361709595,0.265029907,7.204585625,0.138734714,-0.022506374,0.142626125
7.275814583,-0.194778442,0.876586914,-0.220352173,7.274531625,-0.90867376,0.188075366,-0.294911002
7.334988583,0.244308472,1.413009644,-0.066238403,7.344478625,-0.64046654,1.153657948,-0.315872477
7.394131583,0.109191895,0.703994751,-0.096710205,7.414455625,-0.586759103,1.30661048,-0.190632
7.453304583,0.088104248,0.896636963,-0.144165039,7.449428625,-0.458731895,1.268858041,-0.496633471
7.512447583,0.115600586,0.873626709,-0.202285767,7.519374625,-0.476377201,0.927775549,-1.159298524
7.571590583,-0.086471558,0.878433228,0.005859375,7.589320625,-0.779396197,0.757211266,-1.154389519
7.630764583,0.294509888,1.089202881,-0.149703979,7.624293625,-0.687741644,1.156355464,-1.173807958
7.689817208,0.552932739,1.475494385,0.022125244,7.69414875,-0.682937035,1.142858298,0.05080539
