accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
0,0.097366333,0.994003296,-0.156646729,0,-0.178618481,0.015888685,0.015909458
0.059143,0.12399292,0.973190308,-0.19581604,0.069977,-0.062253787,0.061765097,0.015489744
0.118316,0.142990112,0.959594727,-0.174179077,0.10495,-0.109392538,0.109460981,-0.013730726
0.177459,0.151031494,0.981781006,-0.146240234,0.174896,-0.147988133,0.160352924,-0.043893688
0.236633,-0.055236816,0.942443848,-0.0884552,0.244873,-0.559606045,0.546840981,-0.15102973
0.295776,0.121337891,1.023147583,-0.177932739,0.314819,-0.580025833,0.957066859,-0.265803717
0.35495,0.290939331,1.105545044,-0.143310547,0.349792,-0.639042814,0.924835952,-0.116173745
0.414093,0.156051636,0.965362549,-0.133468628,0.419769,-0.474056256,0.581678591,-0.218093985
0.473266,0.126998901,0.902389526,-0.148376465,0.489716,-0.389774132,0.36532365,-0.282046603
0.532409,0.079208374,0.868377686,-0.205093384,0.524689,-0.467697426,0.332253314,-0.282138482
0.591583,0.171020508,0.882217407,-0.212295532,0.594665,-0.53445675,0.40935023,-0.187630085
0.650726,0.20098877,0.925582886,-0.13444519,0.629639,-0.524200916,0.20095894,-0.145738561
0.709899,0.192871094,0.989227295,-0.168991089,0.699615,-0.361837306,-0.068195832,-0.145927912
0.768961125,0.183425903,1.157058716,-0.060089111,0.769562,-0.431331429,-0.614865306,-0.245404435
0.828134125,0.095474243,1.230697632,0.006378174,0.839427375,-0.312887073,-0.610002907,-0.155232198
0.887308125,-0.197784424,1.622161865,0.235855103,0.874431375,-0.545308332,-0.194933272,-0.127527067
0.946451125,0.022872925,1.136169434,0.265350342,0.944377375,0.078929703,0.075941903,0.441245845
1.005594125,0.086456299,0.594299316,0.355072021,1.014323375,-0.07064381,-0.954342445,0.09617234
1.064737125,-0.270568848,0.891693115,0.275848389,1.049327375,-0.086538088,-0.777403087,-0.244881657
1.123910125,-0.157043457,0.762680054,0.250610352,1.119273375,0.197165267,-0.007286409,-0.197133309
1.183054125,0.352340698,0.930862427,0.242904663,1.189219375,0.20429668,0.66257637,0.830965116
1.242197125,0.010665894,0.850372314,0.080825806,1.259196375,0.354731992,0.574840924,0.141734498
1.301340125,0.234909058,0.815872192,-0.015731812,1.294169375,0.12784638,0.722445829,0.50354171
1.360483125,0.17414856,0.898635864,-0.001693726,1.364116375,0.328631149,0.53846241,-0.081911112
1.419626125,0.116851807,0.898178101,-0.222488403,1.434093375,0.329703071,0.94527012,-0.241264285
1.478769125,0.221801758,1.085388184,-0.368835449,1.469066375,0.481250253,0.700687004,-0.223331624
1.537942125,0.227554321,1.444519043,-0.050888062,1.539012375,-0.009750898,0.634022489,-0.456338512
1.597086125,-0.42149353,1.380828857,0.525756836,1.608989375,-0.929471184,0.11587334,0.516984815
1.656229125,0.52230835,1.28944397,0.359664917,1.678935375,0.361335832,-0.118934377,0.184573841
1.715402125,-0.006958008,0.902999878,0.082214355,1.713908375,-0.292039049,-0.180760727,-0.109235411
1.774545125,0.23600769,0.949066162,0.175582886,1.783885375,-0.32476131,-0.70521784,-0.434479818
1.833688125,-0.158828735,0.547531128,0.076583862,1.818858375,-0.041223337,-0.799988291,-0.876455636
1.892831125,-0.016433716,0.640457153,0.019332886,1.888835375,-0.236773397,-1.143357374,-0.374476402
1.951974125,-0.151977539,0.646530151,0.098571777,1.958781375,-0.350400627,-0.741165721,-0.385862747
2.011148125,0.158416748,0.940032959,-0.070465088,1.993754375,-0.102006527,-0.927608302,-0.263915536
2.070291125,0.397888184,1.148284912,-0.102767944,2.063731375,0.346601894,-1.139440929,0.240597962
2.129434125,0.156906128,1.091110229,-0.132080078,2.133678375,0.134259804,-0.830326756,-0.421630865
2.188577125,-0.733123779,2.260116577,0.71321106,2.203624375,-1.026070694,0.993224863,-1.166119412
2.247751125,0.168777466,0.462814331,0.285324097,2.238627375,0.963689874,-0.79129094,0.538442703
2.306894125,-0.505249023,1.26499939,0.350753784,2.308574375,-0.128965174,-0.139316082,0.044673462
2.366067125,0.119613647,0.60609436,0.233398438,2.378520375,0.612916405,0.061890266,0.700066221
2.425211125,-0.00541687,0.933929443,0.168228149,2.413524375,0.216878252,0.340302186,0.486941428
2.484384125,0.117050171,0.719573975,-0.02507019,2.483470375,0.289758585,0.86226365,0.544710453
2.543527125,0.279754639,0.659423828,-0.072921753,2.553416375,0.058206315,0.604053937,0.277891539
2.602701125,0.156936646,1.036483765,0.08442688,2.623393375,0.39753192,0.83545707,-0.284659696
2.661844125,0.320098877,1.058380127,-0.261123657,2.658366375,0.329805603,0.873255581,-0.174327595
2.720987125,0.421905518,1.101150513,-0.477416992,2.728313375,0.292989532,0.148887483,-0.267783244
2.780160125,0.222808838,1.454986572,0.662475586,2.798289375,-1.498631053,-0.929839499,-0.047125701
2.839304125,-0.897903442,1.097671509,0.323028564,2.833262375,-0.62160124,0.116180136,0.520973165
2.898477125,0.211425781,1.143951416,0.174514771,2.903209375,0.355235063,0.319271469,0.316743331
2.957620125,0.18157959,1.049835205,0.130630493,2.938212375,-0.151051568,0.480777276,0.349357467
3.016763125,0.060180664,0.717056274,0.073699951,3.008159375,-0.491524462,-0.040056872,-0.039645148
3.075937125,-0.168411255,0.618713379,0.046218872,3.078105375,-0.150273925,-0.240273057,-0.309459052
3.135080125,-0.028182983,0.634429932,0.014190674,3.148082375,-0.15293389,0.158316405,-0.220131836
3.194254125,0.019470215,0.761886597,0.036392212,3.183055375,-0.29601142,0.21947803,0.086848879
3.253427125,0.297164917,1.227233887,-0.140914917,3.253032375,0.542137573,-0.78392437,0.206311361
3.312601125,0.201919556,1.22644043,-0.106262207,3.322978375,-0.036099149,-0.718733116,-0.42439709
3.371774125,-0.71395874,1.718704224,0.6849823,3.357951375,-0.185752823,-0.647131367,-0.541317319
3.430948125,0.234298706,0.804992676,0.471740723,3.427928375,0.224956951,0.249700381,-0.11873251
3.490091125,-0.435287476,1.028274536,0.410232544,3.497874375,-0.096911899,-0.13447046,-0.435338954
3.549264125,-0.013137817,0.619003296,0.094573975,3.567821375,0.551745725,-0.228313599,0.781231914
3.608408125,0.094573975,0.81539917,0.197814941,3.602824375,0.273181206,-0.280330462,0.659944634
3.667581125,0.274108887,0.659942627,-0.029266357,3.672771375,0.513025227,0.321513052,0.504570756
3.726755125,0.201126099,0.771575928,-0.028244019,3.742717375,0.173520924,-0.412759076,0.015316905
3.785928125,0.16104126,1.013748169,0.13659668,3.777720375,0.044488905,-0.010012953,-0.28026548
3.845071125,0.153671265,0.939102173,-0.324493408,3.847667375,0.385888846,0.465285668,-0.236314001
3.904245125,0.321075439,1.200485229,-0.363937378,3.917613375,0.069392657,0.149098405,-0.191670633
3.963419125,0.29473877,1.499771118,0.427886963,3.952617375,-0.026162362,0.033425069,-0.305539146
4.022592125,-0.562637329,0.996276855,0.41885376,4.022563375,-0.284184588,0.933196413,0.37745062
4.081735125,0.105224609,1.108200073,0.167572021,4.092509375,0.331555034,0.398795856,0.264482789
4.140909125,0.248214722,1.009124756,0.103637695,4.127513375,-0.146945506,0.574067809,0.27936906
4.200082125,0.013519287,0.635696411,0.037384033,4.197459375,-0.584894624,0.216144551,-0.277778354
4.259225125,-0.171691895,0.611923218,0.043624878,4.267406375,-0.057816428,-0.22301817,-0.090379432
4.318399125,0.022689819,0.647720337,0.025360107,4.302409375,-0.22975357,-0.092239916,0.105506986
4.377542125,-0.001235962,0.787414551,0.090194702,4.372355375,-0.586517554,0.24810275,-0.079068188
4.436716125,0.178207397,1.105712891,-0.203735352,4.442302375,0.474657864,-0.716123484,0.158768609
4.495859125,0.398849487,1.246917725,-0.050979614,4.512279375,-0.105851066,-0.429534328,-0.278782366
4.555032125,-0.831680298,1.851608276,0.809753418,4.547252375,0.021769211,-0.480011617,-0.381990511
4.614175125,0.374145508,0.641220093,0.483978271,4.617198375,0.782510498,-0.098442152,0.162362013
4.673349125,-0.420120239,1.200668335,0.502655029,4.687175375,-0.43574482,-0.140177348,-0.448294167
4.732492125,-0.142776489,0.611923218,0.004470825,4.722148375,0.74165228,0.116835274,0.410510569
4.791666125,0.230804443,0.833374023,0.27722168,4.792094375,0.237774479,0.02123072,0.724917775
4.850809125,0.129592896,0.688842773,0.04888916,4.862071375,0.238793138,0.24931076,0.389653757
4.909982125,0.26852417,0.783233643,-0.020202637,4.932017375,0.419699807,-0.019675434,0.223149464
4.969156125,0.067626953,1.010726929,0.084899902,4.966990375,0.121372501,-0.066720175,-0.15247556
5.028299125,0.201095581,0.987991333,-0.147796631,5.036967375,0.194593985,0.410082599,-0.177117789
5.087442125,0.326919556,1.176742554,-0.386642456,5.071940375,0.24556822,0.587202253,-0.302704211
5.146616125,0.470733643,1.402603149,0.240829468,5.141887375,-0.050521764,-0.098018976,-0.201821272
5.205759125,-0.835006714,1.269683838,0.428131104,5.211864375,-0.731543986,0.196932773,0.319195569
5.264932125,0.238510132,1.080444336,0.336700439,5.246837375,-0.619756468,0.215598603,0.016443422
5.324075125,0.202423096,0.984680176,0.101287842,5.316783375,-0.070632891,0.406385599,0.35753417
5.383249125,0.09034729,0.822799683,0.130935669,5.386760375,-0.592815398,-0.193275987,-0.399321831
5.442392125,-0.277374268,0.535140991,0.04888916,5.456706375,0.118685905,-0.19358225,-0.187252715
5.501566125,0.092437744,0.63053894,-0.003219604,5.491679375,-0.138987448,-0.063414659,0.105745871
5.560709125,0.042419434,0.757751465,0.075439453,5.561656375,-0.137004458,0.370163945,-0.024646757
5.619882125,0.205627441,1.187194824,-0.199325562,5.631602375,0.568676772,-0.689517706,0.141956872
5.679025125,0.133224487,1.25793457,-0.100814819,5.666575375,-0.074735757,-0.653517894,0.021683458
5.738199125,-0.661392212,1.714706421,0.700759888,5.736552375,-0.356011375,-0.455072978,-0.235160853
5.797267375,0.278045654,0.844116211,0.366104126,5.806452459,0.705417311,-0.070772441,0.174301497
5.856410375,-0.193054199,1.121444702,0.549713135,5.876428459,-0.385807087,-0.270748941,-0.585970275
